Italian,English
e,And 
non,Not 
che,That 
di,Of 
la,there
il,The 
un,a
a,a
per,For 
è,And 
in,in
una,one
mi,me
sono,I am 
ho,I have
l',the
si,Yes 
ha,has
ma,but
lo,it
cosa,What 
con,with
no,no
le,the
ti,you
se,if
da,from
i,i
come,how
io,I 
ci,There 
hai,you have
questo,This 
bene,Well 
qui,here
sei,six
del,of the
tu,you
solo,Alone 
mio,my 
al,to the
me,me
tutto,All 
c',there
te,you
era,it was
della,from the 
mia,my 
fatto,Done 
fare,Do 
essere,to be 
so,I know
quando,when
sì,Yes 
ora,Now 
lei,she
gli,The 
ne,no
oh,oh
questa,this 
detto,said 
ok,OK
va,go
perche,Why 
quello,that 
mai,never
alla,at the 
o,or
anche,Also 
stato,state 
abbiamo,we have 
tutti,everyone 
dei,of the 
grazie,Thank you 
chi,who
sta,is 
molto,Very 
più,more 
voglio,I want 
perché,Why 
tuo,your 
beh,Well 
sia,is 
nel,In the 
lui,him
allora,At that time 
posso,I can 
piu,more 
ehi,Hey 
prima,Before 
tua,your 
suo,his 
niente,Nothing 
qualcosa,something 
sai,you know
siamo,we are 
un',a
cosi,Like this 
davvero,Really 
ancora,Still 
hanno,they have 
stai,you are 
fa,ago
sua,his
così,Like this 
casa,house
uno,one
dove,Where 
su,on
vero,True 
vuoi,you want 
noi,we
due,two
quindi,Therefore 
dire,to say
d',of
delle,from the 
quella,that 
sempre,Always 
altro,other 
sto,I'm
andare,go 
ad,to 
po,po
loro,They 
devo,I have to 
quel,that 
forse,Perhaps 
li,there 
proprio,own 
certo,Certain 
tempo,time 
nella,in the 
poi,Then 
vi,you
credo,I believe 
vita,life 
cose,things 
sul,on the 
quanto,How much 
puoi,you can 
fuori,out 
anni,years 
cui,which 
andiamo,let's go 
dell',of the
parte,part
visto,view 
qualcuno,someone 
all',to the
lavoro,Work 
voi,you
ciao,HI 
dio,God
volta,time 
dopo,After 
adesso,Now 
stata,was 
uomo,man 
padre,father
devi,you have to 
bisogno,need 
gia,Already 
amico,Friend 
ed,and 
posto,place 
nessuno,Nobody 
via,away
cos',what's that
fai,you do 
signore,Gentleman 
meglio,Better 
cazzo,fuck
dai,come on
dal,from the 
vuole,wants 
sembra,it seems 
giorno,day 
ogni,Everything is fine 
modo,way 
senza,without 
vedere,see 
dobbiamo,we have to 
signor,Mr.
qualche,some 
dispiace,sorry
penso,I think 
ecco,Here you are 
parlare,speak 
tra,Between 
mamma,mom
già,Already 
sarebbe,would be 
dalla,from the 
troppo,too 
fosse,is 
possiamo,we can 
ce,there is 
nuovo,new 
male,bad
madre,mother
avete,you have 
tanto,so much
favore,favor 
successo,success 
vai,go
sulla,on the 
giusto,Right 
sa,knows
miei,my 
aspetta,Wait 
avere,have 
altra,other 
farlo,to do it
alle,to the
facendo,doing 
abbia,have
momento,moment
ero,I was 
aveva,I had 
ragazzi,Boys 
deve,must
persone,people 
nostro,our 
tipo,type
prego,Please 
grande,big
può,can 
senti,you hear
